title,release_date,popularity,vote_average,genre_ids,genre_names,type
Dollhouse,13/02/2009,109.385,7.265,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
Parker Lewis Can't Lose,02/09/1990,109.342,7.2,[35],Comedy,tvshow
The Falcon and the Winter Soldier,19/03/2021,109.272,7.661,"[10759, 18]","Action & Adventure, Drama",tvshow
Highlander: The Series,03/10/1992,109.246,7.389,"[10765, 18, 10759]","Sci-Fi & Fantasy, Drama, Action & Adventure",tvshow
Highlander: The Series,03/10/1992,109.246,7.389,"[10765, 18, 10759]","Sci-Fi & Fantasy, Drama, Action & Adventure",tvshow
Twice in a Lifetime,25/08/1999,108.985,5.5,"[18, 10765, 9648, 10751, 99]","Drama, Sci-Fi & Fantasy, Mystery, Family, Documentary",tvshow
Transformers: Rescue Bots,18/02/2012,108.859,7.4,"[10759, 16, 10762, 10765]","Action & Adventure, Animation, Kids, Sci-Fi & Fantasy",tvshow
Alice,31/08/1976,108.855,6.863,"[35, 18]","Comedy, Drama",tvshow
Sam & Cat,08/06/2013,108.843,7.653,"[35, 10762]","Comedy, Kids",tvshow
Boy Girl Dog Cat Mouse Cheese,31/10/2019,108.725,4.4,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
Penny Dreadful,11/05/2014,108.643,7.84,"[10765, 18, 9648, 10759]","Sci-Fi & Fantasy, Drama, Mystery, Action & Adventure",tvshow
New York Undercover,08/09/1994,108.611,7.397,"[18, 80]","Drama, Crime",tvshow
War of the Worlds,07/10/1988,108.536,6.286,"[18, 10759]","Sci-Fi & Fantasy, Drama",tvshow
War of the Worlds,28/10/2019,81.074,7.285,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Till Death Us Do Part,06/06/1966,108.448,7.295,[35],Comedy,tvshow
Shaun Micallef's Mad as Hell,25/05/2012,108.441,8.0,"[35, 10763]","Comedy, News",tvshow
Big Time Rush,28/11/2009,108.406,8.607,"[35, 10762]","Comedy, Kids",tvshow
Vikings: Valhalla,25/02/2022,108.338,7.782,"[10759, 18, 10768]","Action & Adventure, Drama, War & Politics",tvshow
Marco Polo,12/12/2014,108.287,7.326,"[10759, 18]","Action & Adventure, Drama",tvshow
Wizards of Waverly Place,12/10/2007,108.224,8.1,"[35, 10765, 10762]","Comedy, Sci-Fi & Fantasy, Kids",tvshow
Call Me Kat,03/01/2021,108.143,6.408,[35],Comedy,tvshow
House of Lies,08/01/2012,107.911,6.573,"[35, 18]","Comedy, Drama",tvshow
Amphibia,17/06/2019,107.63,8.522,"[16, 35, 10759, 10765, 10751]","Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy, Family",tvshow
The Masked Singer,02/01/2019,107.63,8.0,[10764],Reality,tvshow
Hudson & Rex,25/02/2019,107.503,8.371,"[18, 80]","Drama, Crime",tvshow
Smiling Friends,01/04/2020,107.323,8.1,"[16, 35]","Animation, Comedy",tvshow
FlashForward,24/09/2009,107.31,7.046,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
FlashForward,24/09/2009,107.31,7.046,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Starsky & Hutch,10/09/1975,107.27,7.23,"[10759, 18, 80]","Action & Adventure, Drama, Crime",tvshow
DC Super Hero Girls,08/03/2019,107.252,7.972,"[16, 10751, 10765, 10762, 35]","Animation, Family, Sci-Fi & Fantasy, Kids, Comedy",tvshow
DC Super Hero Girls,08/03/2019,107.252,7.972,"[16, 10751, 10765, 10762, 35]","Animation, Family",tvshow
DC Super Hero Girls,01/10/2015,77.624,6.4,"[16, 10751]","Animation, Family, Sci-Fi & Fantasy, Kids, Comedy",tvshow
DC Super Hero Girls,01/10/2015,77.624,6.4,"[16, 10751]","Animation, Family",tvshow
Hangin' with Mr. Cooper,22/09/1992,107.206,6.4,[35],Comedy,tvshow
Major Crimes,13/08/2012,106.975,7.303,"[80, 18]","Crime, Drama",tvshow
The Weekly with Charlie Pickering,22/04/2015,106.913,3.0,"[35, 10767]","Comedy, Talk",tvshow
Bubble Guppies,24/01/2011,106.885,7.4,"[16, 10751, 10762]","Animation, Family, Kids",tvshow
Love It or List It,08/09/2008,106.867,6.4,[10764],Reality,tvshow
Elsbeth,29/02/2024,106.808,7.773,"[80, 18]","Crime, Drama",tvshow
Insatiable,10/08/2018,106.729,7.796,"[18, 35]","Drama, Comedy",tvshow
Jay Leno's Garage,07/10/2015,106.705,7.5,"[10764, 99, 35, 10767]","Reality, Documentary, Comedy, Talk",tvshow
Love & Hip Hop Atlanta,18/06/2012,106.654,6.5,[10764],Reality,tvshow
The Saint,04/10/1962,106.562,7.291,"[10759, 80, 18, 9648]","Action & Adventure, Crime, Drama, Mystery",tvshow
Ahsoka,22/08/2023,106.453,7.639,"[10765, 10759]","Sci-Fi & Fantasy, Action & Adventure",tvshow
The Night Shift,27/05/2014,106.425,7.597,[18],Drama,tvshow
The Fresh Prince of Bel-Air,10/09/1990,106.397,7.947,"[35, 10751]","Comedy, Family",tvshow
The Fresh Prince of Bel-Air,10/09/1990,106.397,7.947,"[35, 10751]","Comedy, Family",tvshow
As Told by Ginger,25/10/2000,106.27,6.246,"[10751, 16, 35]","Family, Animation, Comedy",tvshow
Good Witch,28/02/2015,106.246,7.715,"[35, 18, 10765]","Comedy, Drama, Sci-Fi & Fantasy",tvshow
The Saddle Club,06/02/2001,106.219,6.3,"[10751, 18]","Family, Drama",tvshow
Ben Fogle: New Lives In The Wild,22/04/2013,106.183,7.2,"[99, 10764]","Documentary, Reality",tvshow
Doug,18/08/1991,105.931,7.2,"[16, 35, 10762]","Animation, Comedy, Kids",tvshow
Home Economics,07/04/2021,105.794,6.865,[35],Comedy,tvshow
Acapulco,08/10/2021,105.707,7.294,[35],Comedy,tvshow
Gabby's Dollhouse,05/01/2021,105.644,8.2,"[16, 10762, 35]","Animation, Kids, Comedy",tvshow
Marvel's Spidey and His Amazing Friends,06/08/2021,105.581,7.3,"[10762, 16, 35]","Kids, Animation, Comedy",tvshow
Captain Planet and the Planeteers,15/09/1990,105.58,6.764,"[16, 10759, 10765]","Animation, Action & Adventure, Sci-Fi & Fantasy",tvshow
Vuelve a mí,09/10/2023,105.566,9.5,"[10766, 18]","Soap, Drama",tvshow
thirtysomething,29/09/1987,105.459,6.318,[18],Drama,tvshow
Krypto the Superdog,25/03/2005,105.407,6.89,"[16, 99]","Animation, Documentary",tvshow
Krypto the Superdog,25/03/2005,105.407,6.89,"[16, 99]","Animation, Documentary",tvshow
Trying,01/05/2020,105.292,7.7,[35],Comedy,tvshow
Nash Bridges,29/03/1996,105.288,6.678,"[10759, 18]","Action & Adventure, Drama",tvshow
ThunderCats,23/01/1985,105.194,8.217,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,23/01/1985,105.194,8.217,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,23/01/1985,105.194,8.217,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,23/01/1985,105.194,8.217,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,29/07/2011,50.988,8.0,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,29/07/2011,50.988,8.0,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,29/07/2011,50.988,8.0,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
ThunderCats,29/07/2011,50.988,8.0,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
All in the Family,12/01/1971,105.142,7.827,[35],Comedy,tvshow
All in the Family,12/01/1971,105.142,7.827,[35],Comedy,tvshow
Powerless,02/02/2017,104.874,6.169,"[10765, 35]","Sci-Fi & Fantasy, Comedy",tvshow
The Hogan Family,01/03/1986,104.781,7.0,"[35, 10751]","Comedy, Family",tvshow
WKRP in Cincinnati,18/09/1978,104.768,7.479,[35],Comedy,tvshow
After School Club,17/04/2013,104.75,2.0,[],,tvshow
A Series of Unfortunate Events,13/01/2017,104.639,7.4,"[10759, 10751, 35, 9648, 18]","Action & Adventure, Family, Comedy, Mystery, Drama",tvshow
Bodkin,09/05/2024,104.523,6.421,"[18, 9648]","Drama, Mystery",tvshow
Northern Exposure,12/07/1990,104.248,7.807,"[35, 18, 10765]","Comedy, Drama, Sci-Fi & Fantasy",tvshow
The Durrells,03/04/2016,104.201,7.48,"[18, 35, 10751]","Drama, Comedy, Family",tvshow
Horizon,04/02/1964,104.149,7.404,[99],Documentary,tvshow
Star Trek: Strange New Worlds,05/05/2022,104.032,8.169,[10765],Sci-Fi & Fantasy,tvshow
The Girls Next Door,07/08/2005,104.009,6.667,[],,tvshow
Mr Inbetween,25/09/2018,103.924,8.211,"[80, 18]","Crime, Drama",tvshow
Guy's Ranch Kitchen,12/11/2017,103.892,4.0,"[10764, 10751]","Reality, Family",tvshow
Tour of Duty,24/09/1987,103.854,8.082,"[10768, 18, 10759]","War & Politics, Drama, Action & Adventure",tvshow
ted,11/01/2024,103.788,8.05,[35],Comedy,tvshow
Gargoyles,24/10/1994,103.658,8.1,"[16, 10765, 10759]","Animation, Sci-Fi & Fantasy, Action & Adventure",tvshow
Harry and the Hendersons,13/01/1991,103.656,5.6,"[35, 10765, 10751]","Comedy, Sci-Fi & Fantasy, Family",tvshow
Brookside,02/11/1982,103.632,5.941,"[10766, 18]","Soap, Drama",tvshow
Family Matters,22/09/1989,103.626,6.684,"[35, 10751]","Comedy, Family",tvshow
Dateline: Secrets Uncovered,21/07/2017,103.607,8.4,"[80, 99]","Crime, Documentary",tvshow
Red Dwarf,15/02/1988,103.606,8.076,"[35, 10765]","Comedy, Sci-Fi & Fantasy",tvshow
Red Dwarf,15/02/1988,103.606,8.076,"[35, 10765]","Comedy, Sci-Fi & Fantasy",tvshow
Daniel Boone,24/09/1964,103.357,6.9,"[10759, 37]","Action & Adventure, Western",tvshow
Storage Wars,01/12/2010,103.314,5.677,[10764],Reality,tvshow
Herman's Head,08/09/1991,103.265,6.7,[35],Comedy,tvshow
The Lion Guard,15/01/2016,103.244,7.665,"[10762, 16]","Kids, Animation",tvshow
Bakugan,23/12/2018,103.224,5.6,"[16, 10762]","Animation, Kids",tvshow
Only Murders in the Building,31/08/2021,103.166,8.34,"[35, 9648, 80]","Comedy, Mystery, Crime",tvshow
Rusty Rivets,08/11/2016,103.09,5.9,"[16, 10762, 10751, 35]","Animation, Kids, Family, Comedy",tvshow
World of Dance,30/05/2017,103.052,8.526,[10764],Reality,tvshow
The Jerry Springer Show,30/09/1991,103.043,4.122,[10767],Talk,tvshow
Archie Bunker's Place,23/09/1979,102.985,6.588,[35],Comedy,tvshow
Crossing Jordan,24/09/2001,102.977,7.2,[18],Drama,tvshow
Fear Thy Neighbor,14/04/2014,102.956,8.25,"[80, 99]","Crime, Documentary",tvshow
The Parent 'Hood,18/01/1995,102.769,7.2,[35],Comedy,tvshow
Back at the Barnyard,29/09/2007,102.766,6.83,"[16, 35]","Animation, Comedy",tvshow
The Morecambe & Wise Show,12/10/1961,102.707,6.45,[35],Comedy,tvshow
The Morecambe & Wise Show,02/09/1968,61.876,0.0,"[35, 10751]",Comedy,tvshow
The Adventures of Jim Bowie,07/09/1956,102.707,3.7,[37],Western,tvshow
Friday Night with Jonathan Ross,02/11/2001,102.704,5.8,"[35, 10767]","Comedy, Talk",tvshow
8 Simple Rules... for Dating My Teenage Daughter,17/09/2002,102.682,6.724,"[35, 18]","Comedy, Drama",tvshow
Wagon Train,18/09/1957,102.65,6.4,"[37, 18, 10751]","Western, Drama, Family",tvshow
The Now United Show,12/06/2018,102.574,7.0,"[99, 10764]","Documentary, Reality",tvshow
Man with a Plan,24/10/2016,102.531,6.7,[35],Comedy,tvshow
Hercules: The Legendary Journeys,29/01/1995,102.514,6.983,"[10759, 18, 10765]","Action & Adventure, Drama, Sci-Fi & Fantasy",tvshow
Strangers with Candy,07/04/1999,102.491,7.857,[35],Comedy,tvshow
Extras,21/07/2005,102.475,7.7,[35],Comedy,tvshow
Power,07/06/2014,102.445,7.688,"[80, 18]","Crime, Drama",tvshow
"Harvey Birdman, Attorney at Law",30/12/2000,102.414,8.024,"[10765, 16, 35, 10759, 80]","Sci-Fi & Fantasy, Animation, Comedy, Action & Adventure, Crime",tvshow
The Mosquito Coast,30/04/2021,102.181,6.793,"[18, 10759]","Drama, Action & Adventure",tvshow
Life on Mars,09/01/2006,102.062,7.756,"[80, 18, 9648, 10765]","Crime, Drama, Mystery, Sci-Fi & Fantasy",tvshow
Life on Mars,09/10/2008,57.598,6.477,"[9648, 18, 10765]","Crime, Drama, Mystery, Sci-Fi & Fantasy",tvshow
Lights Out with David Spade,29/07/2019,101.977,5.9,"[10767, 35]","Talk, Comedy",tvshow
Buzz Lightyear of Star Command,02/10/2000,101.968,6.4,"[10762, 16, 10765, 10751, 35]","Kids, Animation, Sci-Fi & Fantasy, Family, Comedy",tvshow
Hey Duggee,17/12/2014,101.794,7.6,"[16, 10762, 10751, 35]","Animation, Kids, Family, Comedy",tvshow
The Marvel Super Heroes,05/09/1966,101.654,6.1,"[16, 10759, 10765, 10762]","Animation, Action & Adventure, Sci-Fi & Fantasy, Kids",tvshow
The Marvel Super Heroes,05/09/1966,101.654,6.1,"[16, 10759, 10765, 10762]","Animation, Action & Adventure, Sci-Fi & Fantasy, Kids",tvshow
The Sarah Jane Adventures,01/01/2007,101.624,7.1,"[10759, 18, 10765, 10762]","Action & Adventure, Drama, Sci-Fi & Fantasy, Kids",tvshow
The Looney Tunes Show,03/05/2011,101.246,8.0,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
Married to Medicine,24/03/2013,100.988,7.9,"[10764, 18, 99]","Reality, Drama, Documentary",tvshow
Looney Tunes Cartoons,27/05/2020,100.933,7.7,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
The Secret Life of Us,16/07/2001,100.907,5.6,[18],Drama,tvshow
The Dumping Ground,04/01/2013,100.886,7.5,[],,tvshow
Kung Fu Panda: Legends of Awesomeness,19/09/2011,100.84,7.309,"[10759, 16, 35, 10765]","Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",tvshow
Kung Fu Panda: Legends of Awesomeness,19/09/2011,100.84,7.309,"[10759, 16, 35, 10765]","Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",tvshow
Concordia,23/05/2024,100.818,1.0,"[10765, 80, 18]","Sci-Fi & Fantasy, Crime, Drama",tvshow
Dragons Rescue Riders: Heroes of the Sky,24/11/2021,100.787,4.5,"[10762, 16]","Kids, Animation",tvshow
Adam Ruins Everything,29/09/2015,100.765,7.586,"[35, 99]","Comedy, Documentary",tvshow
Ever After High,18/06/2013,100.735,7.7,"[10762, 16, 18, 10759, 10751]","Kids, Animation, Drama, Action & Adventure, Family",tvshow
Johnny Bravo,07/07/1997,100.712,7.2,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
It's a Living,30/10/1980,100.696,5.6,[35],Comedy,tvshow
The Lincoln Lawyer,13/05/2022,100.647,7.7,"[18, 80]","Drama, Crime",tvshow
Gimme a Break!,29/10/1981,100.639,6.7,"[35, 10751]","Comedy, Family",tvshow
Kraft Suspense Theatre,10/10/1963,100.634,5.333,"[9648, 18]","Mystery, Drama",tvshow
Pee-wee's Playhouse,13/09/1986,100.48,7.1,"[10762, 35]","Kids, Comedy",tvshow
Pee-wee's Playhouse,13/09/1986,100.48,7.1,"[10762, 35]","Kids, Comedy",tvshow
The Single Guy,21/09/1995,100.463,6.3,[35],Comedy,tvshow
The Single Guy,21/09/1995,100.463,6.3,[35],Comedy,tvshow
Love & Hip Hop Miami,01/01/2018,100.348,9.3,[10764],Reality,tvshow
Love & Hip Hop Miami,01/01/2018,100.348,9.3,[10764],Reality,tvshow
The Curse of Oak Island,05/01/2014,100.332,7.5,"[9648, 10759, 10764, 99]","Mystery, Action & Adventure, Reality, Documentary",tvshow
Disney's House of Mouse,13/01/2001,100.327,7.4,"[16, 10762]","Animation, Kids",tvshow
Disney's House of Mouse,13/01/2001,100.327,7.4,"[16, 10762]","Animation, Kids",tvshow
My Little Pony: Equestria Girls - Better Together,17/11/2017,100.317,7.9,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
My Little Pony: Equestria Girls - Better Together,17/11/2017,100.317,7.9,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
North of 60,03/12/1992,100.265,5.8,[18],Drama,tvshow
North of 60,03/12/1992,100.265,5.8,[18],Drama,tvshow
The Dinah Shore Chevy Show,05/10/1956,100.12,4.0,[],,tvshow
The Dinah Shore Chevy Show,05/10/1956,100.12,4.0,[],,tvshow
It Takes a Thief,09/01/1968,100.046,7.0,"[10759, 18]","Action & Adventure, Drama",tvshow
It Takes a Thief,09/01/1968,100.046,7.0,"[10759, 18]","Action & Adventure, Drama",tvshow
God Friended Me,30/09/2018,100.004,7.9,"[18, 10751, 9648, 35]","Drama, Family, Mystery, Comedy",tvshow
How It's Made,06/01/2001,99.984,7.6,[99],Documentary,tvshow
Forever,22/09/2014,99.952,7.786,"[18, 80, 9648, 10765]","Drama, Crime, Mystery, Sci-Fi & Fantasy",tvshow
Would I Lie to You?,16/06/2007,99.924,7.582,[35],Comedy,tvshow
Would I Lie to You?,16/06/2007,99.924,7.582,[35],Comedy,tvshow
Close to Home,20/09/2005,99.895,6.132,"[18, 80, 9648]","Drama, Crime, Mystery",tvshow
Travelers,17/10/2016,99.866,7.555,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Strawberry Shortcake's Berry Bitty Adventures,10/10/2010,99.823,8.667,"[16, 10751, 10762, 35]","Animation, Family, Kids, Comedy",tvshow
Moonlighting,03/03/1985,99.791,7.486,"[35, 18, 9648, 80]","Comedy, Drama, Mystery, Crime",tvshow
BBC Play of the Month,19/10/1965,99.779,5.0,[18],Drama,tvshow
The Great British Bake Off,17/08/2010,99.427,7.483,[10764],Reality,tvshow
The Great British Bake Off,17/08/2010,99.427,7.483,[10764],Reality,tvshow
The Great British Bake Off,29/08/2017,85.548,8.2,[10764],Reality,tvshow
The Great British Bake Off,29/08/2017,85.548,8.2,[10764],Reality,tvshow
The Pretender,19/09/1996,99.375,7.362,"[18, 9648, 10765]","Drama, Mystery, Sci-Fi & Fantasy",tvshow
Barbie: Life in the Dreamhouse,11/05/2012,99.341,7.51,"[16, 10751]","Animation, Family",tvshow
SIX,18/01/2017,99.297,7.311,"[10768, 18, 80, 10759]","War & Politics, Drama, Crime, Action & Adventure",tvshow
Kate & Mim-Mim,04/08/2014,99.287,6.0,[10762],Kids,tvshow
Spring Baking Championship,26/04/2015,99.273,5.8,[10764],Reality,tvshow
Fool Me Once,01/01/2024,99.262,7.314,"[18, 80, 9648]","Drama, Crime, Mystery",tvshow
The Gumby Show,01/05/1956,99.176,5.375,"[10751, 16, 35]","Family, Animation, Comedy",tvshow
The Gumby Show,01/05/1956,99.176,5.375,"[10751, 16, 35]","Family, Animation, Comedy",tvshow
Mrs Brown's Boys,01/01/2011,99.031,7.465,[35],Comedy,tvshow
Mrs Brown's Boys,01/01/2011,99.031,7.465,[35],Comedy,tvshow
Alfred Hitchcock Presents,02/10/1955,99.028,7.701,"[9648, 18, 80]","Mystery, Drama, Crime",tvshow
Alfred Hitchcock Presents,02/10/1955,99.028,7.701,"[9648, 18, 80]","Mystery, Drama, Crime",tvshow
Alfred Hitchcock Presents,02/10/1955,99.028,7.701,"[9648, 18, 80]","Mystery, Drama, Crime",tvshow
The Suite Life of Zack & Cody,18/03/2005,98.916,7.664,"[35, 10751, 10762]","Comedy, Family, Kids",tvshow
Wicked Tuna,01/04/2012,98.892,6.6,"[10759, 10764]","Action & Adventure, Reality",tvshow
The Facts of Life,24/08/1979,98.891,7.08,"[18, 35]","Drama, Comedy",tvshow
Last Comic Standing,01/06/2003,98.78,6.9,"[10764, 35]","Reality, Comedy",tvshow
The Monkees,12/09/1966,98.732,6.5,"[35, 10751]","Comedy, Family",tvshow
Renegade,19/09/1992,98.619,6.552,"[10759, 18, 80]","Action & Adventure, Drama, Crime",tvshow
American Dragon: Jake Long,21/01/2005,98.512,7.8,"[16, 35, 10759, 10751]","Animation, Comedy, Action & Adventure, Family",tvshow
American Dragon: Jake Long,21/01/2005,98.512,7.8,"[16, 35, 10759, 10751]","Animation, Comedy, Action & Adventure, Family",tvshow
The Bachelor,08/09/2013,98.497,0.0,[10764],Reality,tvshow
The Bachelor,25/03/2002,74.39,5.5,[10764],Reality,tvshow
WWE The Bump,02/10/2019,98.495,5.4,[10767],Talk,tvshow
WWE The Bump,02/10/2019,98.495,5.4,[10767],Talk,tvshow
Dexter: New Blood,07/11/2021,98.463,8.017,"[18, 80]","Drama, Crime",tvshow
The Naked Truth,13/09/1995,98.403,6.4,[35],Comedy,tvshow
Great British Menu,10/04/2006,98.373,6.4,[10764],Reality,tvshow
The Last O.G.,03/04/2018,98.318,6.8,[35],Comedy,tvshow
Snapped: Killer Couples,10/03/2013,98.311,7.8,"[80, 99, 18, 10764]","Crime, Documentary, Drama, Reality",tvshow
Marcella,04/04/2016,98.265,6.97,"[80, 18]","Crime, Drama",tvshow
The Tall Man,10/09/1960,98.238,6.8,[37],Western,tvshow
In Plain Sight,01/06/2008,98.234,7.059,"[18, 10759, 80, 99]","Drama, Action & Adventure, Crime, Documentary",tvshow
Fire Country,07/10/2022,98.218,8.44,"[18, 80]","Drama, Crime",tvshow
Out of the Blue,28/04/2008,98.12,5.0,"[10766, 18]","Soap, Drama",tvshow
Life with Derek,18/09/2005,98.07,7.0,"[10751, 35]","Family, Comedy",tvshow
Travel Man: 48 Hours in...,30/03/2015,98.024,6.5,"[35, 99]","Comedy, Documentary",tvshow
Travel Man: 48 Hours in...,30/03/2015,98.024,6.5,"[35, 99]","Comedy, Documentary",tvshow
The First 48,03/06/2004,98.02,7.903,"[99, 18, 80]","Documentary, Drama, Crime",tvshow
The First 48,03/06/2004,98.02,7.903,"[99, 18, 80]","Documentary, Drama, Crime",tvshow
The Young Ones,09/11/1982,97.988,7.821,[35],Comedy,tvshow
Hollyoaks,23/10/1995,97.939,5.1,[10766],Soap,tvshow
Hollyoaks,23/10/1995,97.939,5.1,[10766],Soap,tvshow
seaQuest DSV,12/09/1993,97.919,7.0,"[10759, 10765]","Action & Adventure, Sci-Fi & Fantasy",tvshow
The Dukes of Hazzard,26/01/1979,97.89,7.334,"[10759, 18, 35, 80]","Action & Adventure, Drama, Comedy, Crime",tvshow
Las Vegas,22/09/2003,97.618,6.964,"[18, 35, 10759, 80]","Drama, Comedy, Action & Adventure, Crime",tvshow
American Pickers: Best Of,08/03/2017,97.597,7.8,[10764],Reality,tvshow
American Pickers: Best Of,08/03/2017,97.597,7.8,[10764],Reality,tvshow
The George Burns and Gracie Allen Show,12/10/1950,97.545,6.7,[35],Comedy,tvshow
Debris,01/03/2021,97.47,6.9,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Take the High Road,19/02/1980,97.456,5.25,"[10766, 18]","Soap, Drama",tvshow
Hustle,24/02/2004,97.332,7.609,"[35, 80, 18, 9648]","Comedy, Crime, Drama, Mystery",tvshow
Veep,22/04/2012,97.293,7.4,[35],Comedy,tvshow
Newsnight,30/01/1980,97.265,6.0,[10763],News,tvshow
Are You The One?,21/01/2014,97.1,6.0,[10764],Reality,tvshow
Hijack,28/06/2023,97.049,7.9,[18],Drama,tvshow
Hot Ones,12/03/2015,96.981,7.133,"[10767, 35]","Talk, Comedy",tvshow
Hot Ones,12/03/2015,96.981,7.133,"[10767, 35]","Talk, Comedy",tvshow
Britain & Ireland's Next Top Model,14/09/2005,96.964,10.0,[10764],Reality,tvshow
Torchwood,22/10/2006,96.899,7.3,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
Once and Again,21/09/1999,96.687,6.8,[18],Drama,tvshow
Once and Again,21/09/1999,96.687,6.8,[18],Drama,tvshow
The Bear,23/06/2022,96.68,8.282,"[18, 35]","Drama, Comedy",tvshow
Faerie Tale Theatre,11/09/1982,96.677,8.6,"[18, 10751, 10765, 35]","Drama, Family, Sci-Fi & Fantasy, Comedy",tvshow
Faerie Tale Theatre,11/09/1982,96.677,8.6,"[18, 10751, 10765, 35]","Drama, Family, Sci-Fi & Fantasy, Comedy",tvshow
"Ready, Steady, Wiggle!",11/09/2013,96.632,10.0,[10762],Kids,tvshow
Fleabag,21/07/2016,96.54,8.288,"[35, 18]","Comedy, Drama",tvshow
Fleabag,21/07/2016,96.54,8.288,"[35, 18]","Comedy, Drama",tvshow
The Sarah Silverman Program.,01/02/2007,96.488,6.289,[35],Comedy,tvshow
Republic of Doyle,06/01/2010,96.467,7.03,"[35, 18]","Comedy, Drama",tvshow
The Virginian,19/09/1962,96.341,6.3,"[37, 18]","Western, Drama",tvshow
Lexx,18/04/1997,96.098,6.92,"[35, 18, 10765]","Comedy, Drama, Sci-Fi & Fantasy",tvshow
The New Yankee Workshop,07/01/1989,96.076,0.0,[],,tvshow
Narcos: Mexico,16/11/2018,95.979,7.9,"[18, 80]","Drama, Crime",tvshow
Butterbean's Café,12/11/2018,95.917,6.0,"[10751, 10762]","Family, Kids",tvshow
Antiques Roadshow,18/02/1979,95.897,5.7,"[99, 10751]","Documentary, Family",tvshow
Antiques Roadshow,18/02/1979,95.897,5.7,"[99, 10751]",Documentary,tvshow
Antiques Roadshow,09/01/1997,50.903,7.5,[99],"Documentary, Family",tvshow
Antiques Roadshow,09/01/1997,50.903,7.5,[99],Documentary,tvshow
For Your Love,17/03/1998,95.877,10.0,[35],Comedy,tvshow
Ripper Street,30/12/2012,95.825,7.4,"[18, 9648, 80]","Drama, Mystery, Crime",tvshow
The Martin Lewis Money Show,25/09/2012,95.722,5.0,[],,tvshow
Ballers,21/06/2015,95.653,6.767,"[18, 35]","Drama, Comedy",tvshow
Tokyo Vice,07/04/2022,95.614,7.882,"[80, 18]","Crime, Drama",tvshow
Pingu,28/05/1986,95.594,6.818,"[16, 35, 10762]","Animation, Comedy, Kids",tvshow
Wentworth,01/05/2013,95.546,8.0,"[18, 80]","Drama, Crime",tvshow
Wentworth,01/05/2013,95.546,8.0,"[18, 80]","Drama, Crime",tvshow
Play Your Cards Right,01/02/1980,95.534,7.333,[],,tvshow
Hey Hey It's Saturday,09/10/1971,95.364,7.5,"[35, 10751, 10767]","Comedy, Family, Talk",tvshow
We Were the Lucky Ones,28/03/2024,95.256,6.6,[18],Drama,tvshow
Glow Up: Britain's Next Make-Up Star,05/03/2019,95.216,6.871,[10764],Reality,tvshow
Silversun,05/07/2004,95.195,5.5,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Wilfred,23/06/2011,95.176,7.581,"[35, 18, 9648]","Comedy, Drama, Mystery",tvshow
Running Wild with Bear Grylls,28/07/2014,95.072,6.733,"[10759, 10764]","Action & Adventure, Reality",tvshow
In the House,10/04/1995,95.047,7.3,[],,tvshow
Two Guys and a Girl,10/03/1998,95.036,7.186,[35],Comedy,tvshow
That Girl Lay Lay,23/09/2021,95.003,6.7,[35],Comedy,tvshow
Air Farce Live,08/10/1993,94.986,0.0,[35],Comedy,tvshow
Episodes,09/01/2011,94.963,7.2,[35],Comedy,tvshow
The Man in the High Castle,15/01/2015,94.916,7.505,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Monty Python's Flying Circus,05/10/1969,94.906,8.24,[35],Comedy,tvshow
Lioness,23/07/2023,94.858,8.049,[18],Drama,tvshow
Lioness,23/07/2023,94.858,8.049,[18],Drama,tvshow
